date,home,away,spread,homeWL,awayWL
1445914800000,ATL,DET,-12,0.5,0.5
1445914800000,GSW,NOP,16,0.5,0.5
1445914800000,CHI,CLE,2,0.5,0.5
1446001200000,MIL,NYK,-25,0.5,0.5
1446001200000,TOR,IND,7,0.5,0.5
1446001200000,ORL,WAS,-1,0.5,0.5
1446001200000,OKC,SAS,6,0.5,0.5
1446001200000,DET,UTA,5,1,0.5
1446001200000,SAC,LAC,-7,0.5,0.5
1446001200000,BRK,CHI,-15,0.5,1
1446001200000,POR,NOP,18,0.5,0
1446001200000,MIA,CHO,10,0.5,0.5
1446001200000,HOU,DEN,-20,0.5,0.5
1446001200000,LAL,MIN,-1,0.5,0.5
1446001200000,BOS,PHI,17,0.5,0.5
1446001200000,MEM,CLE,-30,0.5,0
1446001200000,PHO,DAL,-16,0.5,0.5
1446087600000,LAC,DAL,16,1,1
1446087600000,NYK,ATL,-11,1,0
1446087600000,IND,MEM,-9,0,0
1446174000000,SAS,BRK,27,0,0
1446174000000,SAC,LAL,18,0,0
1446174000000,MIL,WAS,-5,0,1
1446174000000,DEN,MIN,-17,1,1
1446174000000,ATL,CHO,3,0.5,0
1446174000000,HOU,GSW,-20,0,1
1446174000000,BOS,TOR,-10,1,1
1446174000000,CLE,MIA,10,0.5,1
1446174000000,PHI,UTA,-28,0,0
1446174000000,PHO,POR,18,0,1
1446174000000,DET,CHI,4,1,1
1446174000000,ORL,OKC,-3,0,1
1446260400000,IND,UTA,-21,0,0.5
1446260400000,LAC,SAC,5,1,0.5
1446260400000,MEM,BRK,10,0.5,0
1446260400000,WAS,NYK,-7,1,0.5
1446260400000,NOP,GSW,-14,0,1
1446260400000,POR,PHO,-11,0.5,0.5
1446346800000,MIA,HOU,20,0.5,0
1446346800000,LAL,DAL,-10,0,0.5
1446346800000,BOS,SAS,-8,0.5,0.5
1446346800000,TOR,MIL,19,1,0
1446346800000,CHO,ATL,-2,0,0.6666666666666666
1446346800000,CHI,ORL,5,0.6666666666666666,0
1446346800000,OKC,DEN,24,1,0.5
1446436800000,BRK,MIL,-7,0,0
1446436800000,NYK,SAS,-10,0.6666666666666666,0.6666666666666666
1446436800000,LAC,PHO,6,1,0.6666666666666666
1446436800000,HOU,OKC,5,0,1
1446436800000,PHI,CLE,-7,0,0.6666666666666666
1446436800000,MIN,POR,-5,1,0.3333333333333333
1446436800000,GSW,MEM,50,1,0.6666666666666666
1446523200000,LAL,DEN,-11,0,0.3333333333333333
1446523200000,SAC,MEM,-14,0.3333333333333333,0.5
1446523200000,DAL,TOR,-11,0.6666666666666666,1
1446523200000,CHO,CHI,25,0,0.75
1446523200000,DET,IND,-12,1,0
1446523200000,NOP,ORL,-9,0,0
1446523200000,MIA,ATL,-6,0.6666666666666666,0.75
1446609600000,OKC,TOR,-5,0.75,1
1446609600000,UTA,POR,-16,0.6666666666666666,0.5
1446609600000,IND,BOS,2,0.25,0.3333333333333333
1446609600000,WAS,SAS,3,0.6666666666666666,0.75
1446609600000,CLE,NYK,10,0.75,0.5
1446609600000,ATL,BRK,14,0.8,0
1446609600000,MIL,PHI,4,0.25,0
1446609600000,HOU,ORL,5,0.25,0.25
1446609600000,GSW,LAC,4,1,1
1446609600000,PHO,SAC,21,0.5,0.25
1446696000000,MIN,MIA,-12,0.6666666666666666,0.5
1446696000000,DAL,CHO,-14,0.5,0.25
1446696000000,POR,MEM,19,0.6,0.6
1446696000000,DEN,UTA,-12,0.5,0.5
1446696000000,CHI,OKC,6,0.6,0.6
1446782400000,SAC,HOU,-6,0.2,0.4
1446782400000,ORL,TOR,5,0.2,1
1446782400000,PHO,DET,-8,0.6,0.75
1446782400000,BOS,WAS,20,0.25,0.75
1446782400000,BRK,LAL,-6,0,0
1446782400000,GSW,DEN,15,1,0.4
1446782400000,CLE,PHI,6,0.8,0
1446782400000,IND,MIA,3,0.4,0.6
1446782400000,NYK,MIL,-7,0.4,0.4
1446782400000,NOP,ATL,-6,0,0.8333333333333334
1446868800000,PHI,ORL,-8,0,0.3333333333333333
1446868800000,MIL,BRK,8,0.5,0
1446868800000,DAL,NOP,9,0.4,0
1446868800000,SAC,GSW,-9,0.16666666666666666,1
1446868800000,LAC,HOU,-4,0.8,0.5
1446868800000,CHI,MIN,-9,0.6666666666666666,0.5
1446868800000,UTA,MEM,10,0.6,0.5
1446868800000,SAS,CHO,20,0.6,0.4
1446868800000,ATL,WAS,15,0.8571428571428571,0.6
1446955200000,MIA,TOR,20,0.5,0.8333333333333334
1446955200000,NYK,LAL,4,0.3333333333333333,0.2
1446955200000,CLE,IND,4,0.8333333333333334,0.5
1446955200000,OKC,PHO,21,0.5,0.5
1446955200000,POR,DET,-17,0.6666666666666666,0.8
1447041600000,ATL,MIN,-10,0.875,0.6
1447041600000,LAC,MEM,2,0.6666666666666666,0.42857142857142855
1447041600000,DEN,POR,4,0.3333333333333333,0.5714285714285714
1447041600000,IND,ORL,13,0.42857142857142855,0.42857142857142855
1447041600000,SAC,SAS,-18,0.14285714285714285,0.6666666666666666
1447041600000,GSW,DET,14,1,0.8333333333333334
1447041600000,PHI,CHI,-23,0,0.5714285714285714
1447128000000,MIL,BOS,-16,0.5714285714285714,0.4
1447128000000,MIA,LAL,13,0.5714285714285714,0.16666666666666666
1447128000000,CLE,UTA,4,0.8571428571428571,0.6666666666666666
1447128000000,MIN,CHO,-9,0.6666666666666666,0.3333333333333333
1447128000000,TOR,NYK,-2,0.7142857142857143,0.42857142857142855
1447128000000,NOP,DAL,15,0,0.5
1447128000000,WAS,OKC,-24,0.5,0.5714285714285714
1447214400000,DEN,MIL,1,0.42857142857142855,0.5
1447214400000,POR,SAS,-12,0.5,0.7142857142857143
1447214400000,PHI,TOR,-16,0,0.625
1447214400000,SAC,DET,9,0.125,0.7142857142857143
1447214400000,MEM,GSW,-16,0.375,1
1447214400000,CHO,NYK,2,0.42857142857142855,0.5
1447214400000,BOS,IND,-11,0.5,0.5
1447214400000,ORL,LAL,2,0.375,0.14285714285714285
1447214400000,DAL,LAC,10,0.42857142857142855,0.7142857142857143
1447214400000,ATL,NOP,8,0.7777777777777778,0.14285714285714285
1447214400000,HOU,BRK,-8,0.5714285714285714,0
1447300800000,MIN,GSW,-13,0.5714285714285714,1
1447300800000,MIA,UTA,1,0.625,0.5714285714285714
1447300800000,PHO,LAC,14,0.42857142857142855,0.625
1447387200000,BOS,ATL,13,0.42857142857142855,0.8
1447387200000,SAC,BRK,2,0.2222222222222222,0.125
1447387200000,IND,MIN,4,0.5555555555555556,0.5
1447387200000,DEN,HOU,9,0.5,0.5
1447387200000,ORL,UTA,9,0.4444444444444444,0.5
1447387200000,MEM,POR,1,0.3333333333333333,0.4444444444444444
1447387200000,TOR,NOP,19,0.6666666666666666,0.125
1447387200000,DAL,LAL,8,0.5,0.125
1447387200000,CHI,CHO,5,0.625,0.5
1447387200000,NYK,CLE,-6,0.4444444444444444,0.875
1447387200000,OKC,PHI,17,0.625,0
1447473600000,MIL,CLE,3,0.4444444444444444,0.8888888888888888
1447473600000,WAS,ORL,9,0.42857142857142855,0.5
1447473600000,PHO,DEN,24,0.5,0.5555555555555556
1447473600000,LAC,DET,5,0.5555555555555556,0.625
1447473600000,SAS,PHI,9,0.75,0
1447473600000,GSW,BRK,8,1,0.1111111111111111
1447473600000,HOU,DAL,-12,0.4444444444444444,0.5555555555555556
1447560000000,MIN,MEM,-8,0.4444444444444444,0.4
1447560000000,LAL,DET,12,0.1111111111111111,0.5555555555555556
1447560000000,CHO,POR,12,0.4444444444444444,0.4
1447560000000,SAC,TOR,6,0.3,0.7
1447560000000,NYK,NOP,8,0.4,0.1111111111111111
1447560000000,OKC,BOS,-15,0.6666666666666666,0.5
1447560000000,ATL,UTA,-1,0.7272727272727273,0.4444444444444444
1447646400000,PHO,LAL,19,0.5555555555555556,0.2
1447646400000,PHI,DAL,-6,0,0.6
1447646400000,CHI,IND,1,0.6666666666666666,0.6
1447646400000,HOU,BOS,-16,0.4,0.5555555555555556
